,Cities,Country,Date,Cloudiness,Humidity,Latitude,Longtitude,Max Temperature,Windspeed
0,Port-Cartier,CA,1598385468,90,100,50.03,-66.87,59.0,6.93
1,Butaritari,KI,1598385468,88,66,3.07,172.79,81.73,5.21
2,Klaksvík,FO,1598385468,89,81,62.23,-6.59,46.4,4.7
3,Sechura,PE,1598385469,34,48,-5.56,-80.82,73.85,16.02
4,Belaya Gora,RU,1598385469,1,80,68.53,146.42,36.57,2.15
5,Qaanaaq,GL,1598385469,100,89,77.48,-69.36,36.43,9.86
6,Jamestown,US,1598385213,20,57,42.1,-79.24,79.0,17.22
7,Yining,CN,1598385469,27,93,29.04,114.56,72.45,1.88
8,Bonthe,SL,1598385469,100,85,7.53,-12.51,77.04,12.1
9,Thaton,MM,1598385469,100,91,16.92,97.37,77.25,3.15
10,Hithadhoo,MV,1598385469,100,76,-0.6,73.08,81.66,8.03
11,Bluff,NZ,1598385470,93,72,-46.6,168.33,45.0,11.01
12,Busselton,AU,1598385470,53,79,-33.65,115.33,46.99,2.73
13,Mataura,NZ,1598385470,71,72,-46.19,168.86,45.0,11.01
14,Shannon,IE,1598385470,75,87,52.7,-8.86,59.0,16.11
15,Norman,US,1598385457,1,36,35.22,-97.44,95.0,5.82
16,Kamenka,RU,1598385470,25,40,51.32,42.77,66.36,6.62
17,Alice Springs,AU,1598385309,0,32,-23.7,133.88,51.8,5.82
18,Itarema,BR,1598385470,0,69,-2.92,-39.92,79.57,14.65
19,Tuktoyaktuk,CA,1598385470,90,100,69.45,-133.04,44.6,4.7
20,Cabo San Lucas,MX,1598385296,5,62,22.89,-109.91,91.4,3.36
21,Avarua,CK,1598385470,45,83,-21.21,-159.78,75.2,16.11
22,Punta Arenas,CL,1598385470,82,56,-53.15,-70.92,42.8,13.87
23,Oistins,BB,1598385471,40,70,13.07,-59.53,87.8,16.11
24,Khatanga,RU,1598385471,32,70,71.97,102.5,53.13,4.09
25,East London,ZA,1598385471,40,82,-33.02,27.91,64.4,20.8
26,Salalah,OM,1598385471,90,94,17.02,54.09,77.0,3.36
27,Hobart,AU,1598385354,100,61,-42.88,147.33,48.2,10.29
28,Lusaka,ZM,1598385438,0,43,-15.41,28.29,65.79,6.44
29,Bethel,US,1598385313,75,48,41.37,-73.41,90.0,10.29
30,Los Llanos de Aridane,ES,1598385471,20,78,28.66,-17.92,75.2,17.22
31,Mar del Plata,AR,1598385471,90,82,-38.0,-57.56,60.8,8.05
32,Bad Salzdetfurth,DE,1598385471,100,78,52.06,10.01,63.0,5.01
33,Astoria,US,1598385471,1,68,46.19,-123.83,68.0,11.41
34,Boguchany,RU,1598385472,31,92,58.38,97.45,52.75,3.44
35,Emba,KZ,1598385472,0,41,48.83,58.14,69.85,5.23
36,Saint-Pierre,RE,1598385472,75,82,-21.34,55.48,68.0,4.7
37,Albany,US,1598385472,8,64,42.6,-73.97,81.0,4.0
38,Hong Kong,HK,1598385452,89,85,22.29,114.16,87.01,11.01
39,Moerai,PF,1598385472,36,73,-22.43,-151.33,69.3,12.1
40,Qandala,SO,1598385472,20,53,11.47,49.87,89.24,1.45
41,Alihe,CN,1598385472,22,92,50.57,123.72,50.56,2.68
42,Cherskiy,RU,1598385473,100,95,68.75,161.3,38.71,3.27
43,Rikitea,PF,1598385473,0,78,-23.12,-134.97,69.6,11.61
44,Lázaro Cárdenas,MX,1598385473,94,68,17.96,-102.2,86.67,2.95
45,Les Cayes,HT,1598385473,58,73,18.2,-73.75,83.7,7.52
46,Bredasdorp,ZA,1598385473,99,92,-34.53,20.04,55.99,1.01
47,Klyuchi,RU,1598385473,0,82,52.27,79.17,54.99,8.5
48,New Norfolk,AU,1598385473,100,82,-42.78,147.06,46.99,1.99
49,Samarai,PG,1598385473,100,87,-10.62,150.67,78.31,19.04
50,Saint-Philippe,RE,1598385473,75,82,-21.36,55.77,68.0,4.7
51,Arraial do Cabo,BR,1598385474,75,56,-22.97,-42.03,69.8,11.41
52,Kumul,CN,1598385474,0,20,42.8,93.45,82.65,0.83
53,Cape Town,ZA,1598385474,75,93,-33.93,18.42,59.0,5.82
54,Ushuaia,AR,1598385320,75,60,-54.8,-68.3,41.0,4.7
55,Souillac,MU,1598385474,40,83,-20.52,57.52,69.8,11.41
56,Fukuechō,JP,1598385474,34,82,32.69,128.84,83.17,28.81
57,Saint Paul Harbor,US,1598385280,20,55,57.79,-152.41,60.8,6.93
58,Mahébourg,MU,1598385474,40,83,-20.41,57.7,69.8,11.41
59,Bambous Virieux,MU,1598385474,40,83,-20.34,57.76,71.01,11.41
60,Pacific Grove,US,1598385475,90,68,36.62,-121.92,75.99,5.82
61,Puerto Ayora,EC,1598385475,75,61,-0.74,-90.35,77.0,18.34
62,Nabire,ID,1598385306,5,89,-3.37,135.48,74.25,4.52
63,Nouadhibou,MR,1598385475,59,78,20.93,-17.03,77.0,11.41
64,Richards Bay,ZA,1598385475,0,73,-28.78,32.04,71.2,15.5
65,Norman Wells,CA,1598385475,75,68,65.28,-126.83,64.4,3.36
66,Imeni Poliny Osipenko,RU,1598385475,59,95,52.42,136.49,50.49,1.68
67,Provideniya,RU,1598385475,90,87,64.38,-173.3,51.8,4.47
68,Angul,IN,1598385475,100,95,20.85,85.1,76.14,4.85
69,Hilo,US,1598385475,1,62,19.73,-155.09,84.2,4.7
70,Port Elizabeth,ZA,1598385476,0,77,-33.92,25.57,62.6,24.16
71,Saurimo,AO,1598385476,0,30,-9.66,20.39,70.11,1.72
72,Road Town,VG,1598385476,75,74,18.42,-64.62,87.8,10.29
73,Castro,BR,1598385476,0,73,-24.79,-50.01,60.82,8.3
74,Palmer,US,1598385476,44,54,42.16,-72.33,88.0,12.28
75,Dingle,PH,1598385476,100,88,11.0,122.67,75.9,3.36
76,Jacksonville,US,1598385236,75,66,30.33,-81.66,93.99,12.75
77,Port Alfred,ZA,1598385476,0,72,-33.59,26.89,61.86,15.95
78,Pontianak,ID,1598385476,80,92,-0.03,109.33,75.43,2.53
79,Bilma,NE,1598385476,83,43,18.69,12.92,88.5,13.91
80,Launceston,AU,1598385477,86,93,-41.45,147.17,39.2,9.17
81,South River,US,1598385477,30,51,40.45,-74.39,91.0,1.01
82,Asău,RO,1598385477,98,99,46.43,26.4,61.0,3.2
83,Saint George,US,1598385477,1,23,37.1,-113.58,102.99,5.82
84,Mocuba,MZ,1598385477,65,77,-16.84,36.99,72.36,3.11
85,Burnie,AU,1598385477,46,69,-41.07,145.92,44.01,10.0
86,Port Hardy,CA,1598385477,75,63,50.7,-127.42,62.6,9.17
87,Leningradskiy,RU,1598385478,100,92,69.38,178.42,40.6,13.04
88,Sicamous,CA,1598385478,57,79,50.83,-118.99,69.01,3.65
89,Lebu,CL,1598385478,4,74,-37.62,-73.65,53.85,21.12
90,Dakar,SN,1598385478,40,79,14.69,-17.44,84.2,9.17
91,Sørland,NO,1598385478,40,81,67.67,12.69,48.2,9.17
92,Lanzhou,CN,1598385478,0,63,36.06,103.79,68.0,1.68
93,Nogliki,RU,1598385478,94,94,51.83,143.17,61.65,12.37
94,Geraldton,AU,1598385303,0,93,-28.77,114.6,44.6,6.93
95,Alofi,NU,1598385478,97,83,-19.06,-169.92,73.4,2.24
96,Saint-Augustin,CA,1598385478,100,66,51.23,-58.65,61.72,12.64
97,Mount Gambier,AU,1598385479,75,93,-37.83,140.77,39.2,2.24
98,Barrow,US,1598385302,90,93,71.29,-156.79,39.2,4.76
99,Ribeira Grande,PT,1598385479,75,94,38.52,-28.7,75.2,12.75
100,Yagodnoye,RU,1598385479,47,72,62.55,149.67,39.83,2.15
101,Witu,KE,1598385479,17,84,-2.39,40.44,75.22,10.04
102,Bukachacha,RU,1598385479,0,90,52.98,116.92,43.12,3.47
103,Casablanca,MA,1598385236,75,88,33.59,-7.62,78.8,11.41
104,Konstantinovskiy,RU,1598385479,84,100,57.83,39.59,57.2,4.54
105,Hermanus,ZA,1598385479,100,92,-34.42,19.23,55.99,1.01
106,Kirakira,SB,1598385479,66,82,-10.45,161.92,79.59,8.23
107,Ambilobe,MG,1598385480,3,80,-13.2,49.05,69.1,4.83
108,Yumen,CN,1598385480,0,27,40.28,97.2,65.57,1.48
109,Podporozh'ye,RU,1598385480,98,87,60.91,34.17,55.15,4.21
110,Nanzhang,CN,1598385480,0,71,31.78,111.84,73.65,4.09
111,Agadez,NE,1598385480,98,20,19.75,10.25,98.96,12.26
112,Fortuna,US,1598385480,1,77,40.6,-124.16,66.99,9.17
113,Iringa,TZ,1598385480,0,78,-7.77,35.7,58.96,10.71
114,Diu,IN,1598385480,100,84,20.71,70.98,80.89,15.37
115,Malakal,SS,1598385480,100,83,9.53,31.66,75.63,2.04
116,Vao,NC,1598385481,73,66,-22.67,167.48,67.59,12.66
117,Malakwal,PK,1598385481,25,65,32.55,73.21,86.09,4.56
118,Katherine,AU,1598385481,39,33,-14.47,132.27,62.6,5.82
119,‘Ewa Beach,US,1598385397,1,58,21.32,-158.01,84.2,6.93
120,Faanui,PF,1598385481,25,83,-16.48,-151.75,76.03,20.62
121,Tiksi,RU,1598385481,0,88,71.69,128.87,36.27,9.01
122,Srednekolymsk,RU,1598385481,94,77,67.45,153.68,40.17,0.2
123,Nikolskoye,RU,1598385481,75,93,59.7,30.79,60.01,2.24
124,Dikson,RU,1598385482,0,95,73.51,80.55,47.48,6.08
125,Kapustin Yar,RU,1598385482,0,29,48.58,45.74,70.84,6.42
126,Ibrā’,OM,1598385482,100,54,22.69,58.53,86.04,3.36
127,Greenville,US,1598385420,40,62,35.61,-77.37,89.6,10.29
128,Atuona,PF,1598385482,1,74,-9.8,-139.03,78.53,13.49
129,Hasaki,JP,1598385482,75,88,35.73,140.83,77.0,3.36
130,Saldanha,ZA,1598385482,97,86,-33.01,17.94,58.77,21.03
131,Korla,CN,1598385482,0,61,41.76,86.15,84.0,1.01
132,Trincomalee,LK,1598385482,100,81,8.57,81.23,80.64,5.59
133,Sola,VU,1598385483,27,83,-13.88,167.55,80.56,19.44
134,Inta,RU,1598385483,100,90,66.03,60.17,55.35,10.45
135,Kapaa,US,1598385483,1,74,22.08,-159.32,82.0,12.75
136,Acapulco de Juárez,MX,1598385483,75,74,16.86,-99.89,84.2,6.93
137,Praia,CV,1598385483,20,66,14.92,-23.51,86.0,8.05
138,Plácido de Castro,BR,1598385483,32,22,-10.34,-67.19,97.38,3.83
139,Yamada,JP,1598385483,0,85,39.47,141.95,71.06,2.91
140,Carnarvon,AU,1598385483,0,82,-24.87,113.63,62.6,13.87
141,Tilichiki,RU,1598385483,0,69,60.47,166.1,43.11,6.8
142,Kaitangata,NZ,1598385484,57,73,-46.28,169.85,42.01,7.0
143,Tabuk,PH,1598385484,81,75,17.42,121.44,74.89,2.37
144,La Ronge,CA,1598385484,90,93,55.1,-105.28,51.8,16.11
145,Minot,US,1598385314,1,48,48.23,-101.3,87.8,12.75
146,Dattāpur,IN,1598385484,65,85,20.77,78.17,77.22,8.77
147,Esperance,AU,1598385484,0,100,-33.87,121.9,50.0,1.12
148,Bani Walid,LY,1598385484,0,75,31.76,13.99,72.84,10.54
149,Vaini,TO,1598385484,20,93,-21.2,-175.2,66.2,1.36
150,Pitimbu,BR,1598385485,62,65,-7.47,-34.81,80.6,16.11
151,Yellowknife,CA,1598385243,90,93,62.46,-114.35,55.4,6.93
152,Hamilton,US,1598385224,40,52,39.18,-84.53,93.0,12.75
153,Lompoc,US,1598385301,40,73,34.64,-120.46,73.99,11.41
154,Pundaguitan,PH,1598385485,4,78,6.37,126.17,83.14,14.97
155,Waipawa,NZ,1598385485,95,57,-41.41,175.52,48.2,21.92
156,Boyolangu,ID,1598385485,72,87,-8.12,111.89,72.34,5.77
157,Brae,GB,1598385485,34,76,60.4,-1.35,53.6,17.22
158,Tarashcha,UA,1598385485,100,94,49.56,30.49,63.75,7.65
159,Sitka,US,1598385339,90,93,57.05,-135.33,55.4,3.36
160,Taltal,CL,1598385486,0,53,-25.4,-70.48,59.63,3.71
161,Faya,SA,1598385486,97,68,18.39,42.45,73.4,5.82
162,Tuatapere,NZ,1598385486,52,72,-46.13,167.68,45.0,11.01
163,Władysławowo,PL,1598385486,84,100,54.79,18.4,57.0,3.36
164,Margate,GB,1598385486,31,81,51.38,1.39,64.0,7.0
165,Bengkulu,ID,1598385486,98,82,-3.8,102.27,77.04,8.61
166,Kaberamaido,UG,1598385486,0,88,1.74,33.16,66.34,1.54
167,Grasse,FR,1598385452,20,78,43.67,6.92,78.8,3.36
168,Touros,BR,1598385487,20,65,-5.2,-35.46,82.4,17.22
169,Tasiilaq,GL,1598385487,5,75,65.61,-37.64,41.0,11.41
170,Makakilo City,US,1598385487,1,58,21.35,-158.09,84.2,6.93
171,Ulladulla,AU,1598385487,0,81,-35.35,150.47,43.0,9.17
172,Hirara,JP,1598385487,95,85,24.8,125.28,83.41,22.01
173,Lata,PT,1598385487,0,80,40.16,-8.33,77.0,5.01
174,Amzya,RU,1598385487,9,93,56.24,54.39,57.83,2.93
175,Gloversville,US,1598385487,40,65,43.05,-74.34,78.8,14.99
176,Nikkō,JP,1598385487,2,93,36.75,139.62,73.99,1.99
177,Port Hueneme,US,1598385487,20,78,34.15,-119.2,84.0,14.99
178,Nanortalik,GL,1598385487,0,77,60.14,-45.24,47.16,7.96
179,Nísia Floresta,BR,1598385488,20,69,-6.09,-35.21,82.4,18.34
180,Gejiu,CN,1598385488,17,100,23.31,103.16,56.8,2.55
181,Thompson,CA,1598385488,90,81,55.74,-97.86,51.8,8.05
182,Chui,UY,1598385488,100,68,-33.7,-53.46,63.59,10.11
183,Saskylakh,RU,1598385488,50,66,71.92,114.08,49.42,8.14
184,Svetlaya,RU,1598385488,0,87,46.54,138.33,65.3,6.04
185,Bridlington,GB,1598385488,100,82,54.08,-0.19,60.8,18.34
186,Fort Nelson,CA,1598385488,75,67,58.81,-122.7,62.6,6.93
187,Ocampo,MX,1598385488,79,58,21.65,-101.5,68.5,17.54
188,Ust'-Omchug,RU,1598385489,48,73,61.15,149.63,39.51,2.13
189,Lianyuan,CN,1598385489,16,88,27.69,111.66,71.04,2.19
190,Arlit,NE,1598385489,72,59,18.74,7.39,83.39,15.66
191,Castelldefels,ES,1598385489,20,74,41.28,1.97,82.0,10.29
192,Broome,US,1598385489,20,73,42.25,-75.83,79.0,14.99
193,Banes,CU,1598385489,40,55,20.96,-75.72,89.6,16.11
194,Tessalit,ML,1598385489,89,28,20.2,1.01,95.79,3.33
195,Ilulissat,GL,1598385489,40,75,69.22,-51.1,42.8,4.7
196,Catabola,AO,1598385490,6,41,-12.15,17.28,66.07,3.69
197,North Bend,US,1598385490,1,63,43.41,-124.22,75.0,21.92
198,Manicoré,BR,1598385393,87,29,-5.81,-61.3,96.55,3.06
199,Archena,ES,1598385490,0,54,38.12,-1.3,84.0,7.0
200,Pemba,MZ,1598385490,0,80,-12.97,40.52,74.41,8.59
201,Lavrentiya,RU,1598385490,90,89,65.58,-171.0,47.41,4.85
202,Zonguldak,TR,1598385490,0,82,41.25,31.83,60.67,2.51
203,Grand Gaube,MU,1598385490,28,75,-20.01,57.66,71.01,5.99
204,Lakes Entrance,AU,1598385490,5,92,-37.88,147.98,42.01,8.68
205,Buin,CL,1598385490,75,44,-33.73,-70.75,59.0,4.7
206,Ballarat,AU,1598385491,0,86,-37.57,143.85,41.0,1.77
207,Upernavik,GL,1598385491,100,90,72.79,-56.15,41.94,1.99
208,Kismayo,SO,1598385491,5,82,-0.36,42.55,77.49,15.77
209,Mulegé,MX,1598385491,0,48,26.88,-111.98,94.64,10.36
210,Puerto Asís,CO,1598385491,40,61,0.51,-76.5,82.4,2.24
211,Kaoma,ZM,1598385491,8,31,-14.78,24.8,63.18,1.1
212,Río Cuarto,AR,1598385435,31,24,-33.13,-64.35,80.6,12.75
213,Marystown,CA,1598385491,99,100,47.17,-55.15,66.99,5.01
214,Zygos,GR,1598385492,75,73,41.02,24.38,77.0,6.93
215,Skjervøy,NO,1598385492,75,76,70.03,20.97,48.2,6.93
216,Tezu,IN,1598385492,75,84,27.92,96.17,76.15,3.85
217,Sayyan,YE,1598385492,100,56,15.17,44.32,66.56,2.64
218,Kudahuvadhoo,MV,1598385492,100,74,2.67,72.89,83.32,11.72
219,Guerrero Negro,MX,1598385492,17,62,27.98,-114.06,82.18,13.42
220,Bemban,MY,1598385492,20,94,2.27,102.37,77.0,2.77
221,Ponta do Sol,PT,1598385492,20,69,32.67,-17.1,75.2,17.22
222,Yar-Sale,RU,1598385492,31,83,66.83,70.83,52.39,7.81
223,Tūkrah,LY,1598385492,0,78,32.53,20.58,77.45,6.33
224,Mitú,CO,1598385493,99,56,1.2,-70.17,85.93,2.46
